"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 19:00:19 GMT 2023","Tue Oct 10 19:00:23 GMT 2023","3902","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Tue Oct 10 18:59:58 GMT 2023","Tue Oct 10 19:00:09 GMT 2023","11006","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Oct 10 19:01:15 GMT 2023","Tue Oct 10 19:01:30 GMT 2023","14684","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Oct 10 19:00:53 GMT 2023","Tue Oct 10 19:01:04 GMT 2023","11404","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Oct 10 19:01:04 GMT 2023","Tue Oct 10 19:01:13 GMT 2023","9132","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Oct 10 19:01:30 GMT 2023","Tue Oct 10 19:01:39 GMT 2023","9225","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Oct 10 19:00:12 GMT 2023","Tue Oct 10 19:00:19 GMT 2023","6898","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Tue Oct 10 19:00:40 GMT 2023","Tue Oct 10 19:00:53 GMT 2023","13002","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Tue Oct 10 19:01:39 GMT 2023","Tue Oct 10 19:01:43 GMT 2023","3267","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Oct 10 19:00:25 GMT 2023","Tue Oct 10 19:00:39 GMT 2023","14484","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
